"address","parcel","sample_date","excavation_date","remediation_status","address_omaha"
"3027 HAMILTON ST","1802140000",2005-05-23,"not remediated","not remediated","3027 HAMILTON ST Omaha, NE"
"3123 HAMILTON ST","1802210000",2003-12-07,"2005-11-18","remediated","3123 HAMILTON ST Omaha, NE"
"3223 HAMILTON ST","1802290000",2003-06-24,"2005-03-17","remediated","3223 HAMILTON ST Omaha, NE"
"3216 LAFAYETTE AV","1802370000",2006-12-12,"not remediated","not remediated","3216 LAFAYETTE AV Omaha, NE"
"3116 LAFAYETTE AV","1802440000",2003-06-19,"2012-05-24","remediated","3116 LAFAYETTE AV Omaha, NE"
"3112 LAFAYETTE AV","1802450000",2003-12-05,"2012-06-25","remediated","3112 LAFAYETTE AV Omaha, NE"
"3022 LAFAYETTE AV","1802500000",2004-08-26,"2006-05-15","remediated","3022 LAFAYETTE AV Omaha, NE"
"3115 LAFAYETTE AV","1802670000",2004-07-14,"2021-06-01","remediated","3115 LAFAYETTE AV Omaha, NE"
"3205 LAFAYETTE AV","1802730000",2005-04-27,"2011-09-23","remediated","3205 LAFAYETTE AV Omaha, NE"
"3215 LAFAYETTE AV","1802750000",2004-09-20,"not remediated","not remediated","3215 LAFAYETTE AV Omaha, NE"
"3216 MYRTLE AV","1802870000",2004-09-10,"2015-06-30","remediated","3216 MYRTLE AV Omaha, NE"
"3130 MYRTLE AV","1802910000",2008-08-13,"2008-11-21","remediated","3130 MYRTLE AV Omaha, NE"
"3024 MYRTLE AV","1803000000",2005-09-13,"2006-08-25","remediated","3024 MYRTLE AV Omaha, NE"
"3002 MYRTLE AV","1803040000",2005-12-01,"2011-09-19","remediated","3002 MYRTLE AV Omaha, NE"
"2919 MYRTLE AV","1803070000",2003-06-26,"2011-11-18","remediated","2919 MYRTLE AV Omaha, NE"
"1120 OREGON TL","1803160000",2004-09-16,"not remediated","not remediated","1120 OREGON TL Omaha, NE"
"3027 MYRTLE AV","1803190000",2005-04-26,"2007-08-29","remediated","3027 MYRTLE AV Omaha, NE"
"1037 N 33 ST","1803350000",2004-12-08,"2012-06-11","remediated","1037 N 33 ST Omaha, NE"
"1029 N 32 ST","1803420000",2003-07-22,"2011-05-02","remediated","1029 N 32 ST Omaha, NE"
"3166 LINCOLN BD","1803470000",2004-08-26,"not remediated","not remediated","3166 LINCOLN BD Omaha, NE"
"3160 LINCOLN BD","1803480000",2003-06-04,"not remediated","not remediated","3160 LINCOLN BD Omaha, NE"
"4101 S 40 AV","1313770000",2003-08-05,"not remediated","not remediated","4101 S 40 AV Omaha, NE"
"3316 WOOLWORTH AV","1324460025",2003-09-16,"not remediated","not remediated","3316 WOOLWORTH AV Omaha, NE"
"4806 S 17 ST","1324650000",2004-11-09,"2006-09-06","remediated","4806 S 17 ST Omaha, NE"
"4816 S 17 ST","1324670000",2003-08-27,"not remediated","not remediated","4816 S 17 ST Omaha, NE"
"1717 HOLMES ST","1324740000",2006-10-19,"2008-07-23","remediated","1717 HOLMES ST Omaha, NE"
"1706 N ST","1324810000",2008-08-19,"not remediated","not remediated","1706 N ST Omaha, NE"
"5607 N 37 ST","1325090000",2003-12-08,"not remediated","not remediated","5607 N 37 ST Omaha, NE"
"3744 ELLISON AV","1325280000",2003-11-20,"not remediated","not remediated","3744 ELLISON AV Omaha, NE"
"5523 FONTENELLE BD","1325420000",2003-12-11,"not remediated","not remediated","5523 FONTENELLE BD Omaha, NE"
"5512 N 37 ST","1325620000",2004-05-19,"not remediated","not remediated","5512 N 37 ST Omaha, NE"
"5509 N 37 ST","1325700002",2003-12-23,"not remediated","not remediated","5509 N 37 ST Omaha, NE"
"5328 N 36 ST","1325840000",2005-07-26,"not remediated","not remediated","5328 N 36 ST Omaha, NE"
"5405 N 37 ST","1325950000",2003-11-13,"not remediated","not remediated","5405 N 37 ST Omaha, NE"
"5416 N 37 ST","1326100002",2003-12-04,"not remediated","not remediated","5416 N 37 ST Omaha, NE"
"1704 LAKE ST","1326400000",2004-05-20,"2010-04-02","remediated","1704 LAKE ST Omaha, NE"
"1728 LAKE ST","1326450000",2003-11-20,"not remediated","not remediated","1728 LAKE ST Omaha, NE"
"2511 N 18 ST","1326470000",1999-06-15,"not remediated","not remediated","2511 N 18 ST Omaha, NE"
"3315 JEFFERSON ST","1326570002",2003-11-24,"not remediated","not remediated","3315 JEFFERSON ST Omaha, NE"
"3379 JEFFERSON ST","1326630000",2010-06-15,"not remediated","not remediated","3379 JEFFERSON ST Omaha, NE"
"3385 JEFFERSON ST","1326650000",2008-06-20,"not remediated","not remediated","3385 JEFFERSON ST Omaha, NE"
"3536 MADISON ST","1326900000",2004-10-21,"not remediated","not remediated","3536 MADISON ST Omaha, NE"
"3356 MADISON ST","1326990000",2004-01-15,"not remediated","not remediated","3356 MADISON ST Omaha, NE"
"3316 MADISON ST","1327100000",2008-08-14,"not remediated","not remediated","3316 MADISON ST Omaha, NE"
"3305 MADISON ST","1327110000",2004-05-24,"not remediated","not remediated","3305 MADISON ST Omaha, NE"
"302 N 38 ST","1513930000",2003-07-17,"2007-12-31","remediated","302 N 38 ST Omaha, NE"
"306 N 38 ST","1513940000",2003-08-03,"2010-06-22","remediated","306 N 38 ST Omaha, NE"
"3812 DAVENPORT ST","1513970000",2003-12-10,"not remediated","not remediated","3812 DAVENPORT ST Omaha, NE"
"3814 DAVENPORT ST","1513980000",2003-09-04,"not remediated","not remediated","3814 DAVENPORT ST Omaha, NE"
"523 N 40 ST","1514190000",2008-09-04,"2006-07-26","remediated","523 N 40 ST Omaha, NE"
"3514 N 52 ST","1514420000",1999-04-20,"not remediated","not remediated","3514 N 52 ST Omaha, NE"
"4435 S 42 ST","1514540000",2015-05-20,"not remediated","not remediated","4435 S 42 ST Omaha, NE"
"4619 CUMING ST","1514600000",2014-05-06,"not remediated","not remediated","4619 CUMING ST Omaha, NE"
"825 N 47 ST","1514620000",2005-11-15,"not remediated","not remediated","825 N 47 ST Omaha, NE"
"813 N 47 ST","1514650000",2009-08-12,"not remediated","not remediated","813 N 47 ST Omaha, NE"
"4701 CUMING ST","1514690000",2005-08-17,"not remediated","not remediated","4701 CUMING ST Omaha, NE"
"4709 CUMING ST","1514720000",2005-10-26,"2006-08-14","remediated","4709 CUMING ST Omaha, NE"
"4713 CUMING ST","1514730000",2006-01-06,"2007-12-31","remediated","4713 CUMING ST Omaha, NE"
"817 N 48 ST","1514800000",2005-07-26,"2010-05-26","remediated","817 N 48 ST Omaha, NE"
"809 N 48 ST","1514840000",2005-09-21,"not remediated","not remediated","809 N 48 ST Omaha, NE"
"804 N 47 ST","1514870000",2005-09-26,"not remediated","not remediated","804 N 47 ST Omaha, NE"
"625 PIERCE ST","1514930002",1999-06-18,"2009-09-24","remediated","625 PIERCE ST Omaha, NE"
"721 1/2 PIERCE ST","1514990000",2016-08-22,"2017-11-17","remediated","721 1/2 PIERCE ST Omaha, NE"
"1219 PARK WILD AV","1515030000",1999-08-22,"not remediated","not remediated","1219 PARK WILD AV Omaha, NE"
"1228 PARK WILD AV","1515080000",2014-04-07,"2015-06-02","remediated","1228 PARK WILD AV Omaha, NE"
"1242 PARK WILD AV","1515180000",1999-06-21,"2006-06-14","remediated","1242 PARK WILD AV Omaha, NE"
"626 WILLIAM ST","1515220000",2003-08-05,"2011-05-18","remediated","626 WILLIAM ST Omaha, NE"
"1424 PARK WILD AV","1515400002",2012-04-10,"2015-08-28","remediated","1424 PARK WILD AV Omaha, NE"
"4301 EMMET ST","1416440000",2004-09-20,"not remediated","not remediated","4301 EMMET ST Omaha, NE"
"4327 EMMET ST","1416500000",2008-08-14,"not remediated","not remediated","4327 EMMET ST Omaha, NE"
"4333 EMMET ST","1416520000",2004-01-16,"not remediated","not remediated","4333 EMMET ST Omaha, NE"
"4332 BEDFORD AV","1416540000",2004-09-17,"not remediated","not remediated","4332 BEDFORD AV Omaha, NE"
"4318 BEDFORD AV","1416560000",2003-06-23,"not remediated","not remediated","4318 BEDFORD AV Omaha, NE"
"4306 BEDFORD AV","1416590000",2003-06-26,"not remediated","not remediated","4306 BEDFORD AV Omaha, NE"
"3312 N 43 ST","1416600000",2004-08-30,"2009-08-21","remediated","3312 N 43 ST Omaha, NE"
"4203 EMMET ST","1416640000",2005-06-01,"not remediated","not remediated","4203 EMMET ST Omaha, NE"
"4221 EMMET ST","1416680000",2003-12-18,"not remediated","not remediated","4221 EMMET ST Omaha, NE"
"4233 EMMET ST","1416720000",2005-06-14,"2010-10-06","remediated","4233 EMMET ST Omaha, NE"
"3303 N 43 ST","1416740000",2003-09-03,"not remediated","not remediated","3303 N 43 ST Omaha, NE"
"4212 BEDFORD AV","1416790000",2004-09-20,"not remediated","not remediated","4212 BEDFORD AV Omaha, NE"
"4204 BEDFORD AV","1416810000",2004-09-03,"not remediated","not remediated","4204 BEDFORD AV Omaha, NE"
"1408 U ST","1417040000",2004-12-01,"not remediated","not remediated","1408 U ST Omaha, NE"
"1322 U ST","1417060000",2008-08-25,"not remediated","not remediated","1322 U ST Omaha, NE"
"5324 FONTENELLE BD","1417110002",2003-11-14,"not remediated","not remediated","5324 FONTENELLE BD Omaha, NE"
"938 N 28 AV","1310076002",2013-12-10,"not remediated","not remediated","938 N 28 AV Omaha, NE"
"932 N 28 AV","1310076000",2004-09-08,"not remediated","not remediated","932 N 28 AV Omaha, NE"
"958 N 28 AV","1310076014",2014-07-29,"not remediated","not remediated","958 N 28 AV Omaha, NE"
"519 S 34 ST","1418350000",2004-09-01,"2005-07-13","remediated","519 S 34 ST Omaha, NE"
"513 S 34 ST","1418360000",2008-07-18,"not remediated","not remediated","513 S 34 ST Omaha, NE"
"502 S 34 ST","1418420000",2004-01-22,"2005-11-18","remediated","502 S 34 ST Omaha, NE"
"3407 DEWEY AV","1418440000",2003-11-03,"2004-08-16","remediated","3407 DEWEY AV Omaha, NE"
"3520 HOWARD ST","1418630000",2004-09-07,"2011-08-29","remediated","3520 HOWARD ST Omaha, NE"
"531 S 36 ST","1418710000",2003-11-22,"not remediated","not remediated","531 S 36 ST Omaha, NE"
"3511 HOWARD ST","1418790000",2003-11-09,"2007-06-18","remediated","3511 HOWARD ST Omaha, NE"
"561 S 35 AV","1418850000",2003-10-28,"2010-11-11","remediated","561 S 35 AV Omaha, NE"
"564 S 35 ST","1418890000",2003-10-15,"2004-08-14","remediated","564 S 35 ST Omaha, NE"
"3301 HOWARD ST","1419000000",2012-07-13,"2020-06-02","remediated","3301 HOWARD ST Omaha, NE"
"3311 HOWARD ST","1419020000",2003-10-14,"2012-05-29","remediated","3311 HOWARD ST Omaha, NE"
"3308 JACKSON ST","1419090000",2003-11-07,"not remediated","not remediated","3308 JACKSON ST Omaha, NE"
"3315 TURNER BD","1419140000",2005-10-25,"not remediated","not remediated","3315 TURNER BD Omaha, NE"
"617 S 35 ST","1419240000",2008-07-30,"not remediated","not remediated","617 S 35 ST Omaha, NE"
"3509 JACKSON ST","1419310000",2008-08-05,"2008-10-09","remediated","3509 JACKSON ST Omaha, NE"
"3510 JONES ST","1419380000",2009-07-29,"2011-06-11","remediated","3510 JONES ST Omaha, NE"
"605 S 36 ST","1419440000",2003-11-25,"not remediated","not remediated","605 S 36 ST Omaha, NE"
"610 S 35 AV","1419530000",2003-10-27,"2024-07-22","remediated","610 S 35 AV Omaha, NE"
"701 S 36 ST","1419590000",2008-08-24,"2004-04-13","remediated","701 S 36 ST Omaha, NE"
"3521 JONES ST","1419690000",2003-11-05,"2007-07-18","remediated","3521 JONES ST Omaha, NE"
"2517 AMES AV","1420090000",2005-01-12,"2020-10-16","remediated","2517 AMES AV Omaha, NE"
"4407 N 25 AV","1420130000",2003-11-13,"2009-09-08","remediated","4407 N 25 AV Omaha, NE"
"2508 TAYLOR ST","1420170002",1999-10-12,"not remediated","not remediated","2508 TAYLOR ST Omaha, NE"
"4406 N 25 AV","1420260000",1999-10-12,"not remediated","not remediated","4406 N 25 AV Omaha, NE"
"2551 LAUREL AV","1613330000",2004-10-08,"2006-06-16","remediated","2551 LAUREL AV Omaha, NE"
"2557 LAUREL AV","1613340000",2004-05-27,"2007-12-31","remediated","2557 LAUREL AV Omaha, NE"
"2571 LAUREL AV","1613380000",2004-09-22,"not remediated","not remediated","2571 LAUREL AV Omaha, NE"
"2561 CROWN POINT AV","1613420000",2004-10-21,"2006-10-16","remediated","2561 CROWN POINT AV Omaha, NE"
"2575 CROWN POINT AV","1613460000",2003-11-09,"2004-10-16","remediated","2575 CROWN POINT AV Omaha, NE"
"2576 LAUREL AV","1613510000",2003-11-18,"not remediated","not remediated","2576 LAUREL AV Omaha, NE"
"2566 LAUREL AV","1613560000",2004-09-22,"not remediated","not remediated","2566 LAUREL AV Omaha, NE"
"5924 N 24 ST","1613600000",2004-01-15,"2010-09-01","remediated","5924 N 24 ST Omaha, NE"
"5920 N 24 ST","1613610000",2004-01-21,"2004-04-29","remediated","5920 N 24 ST Omaha, NE"
"2415 CROWN POINT AV","1613640000",2004-10-04,"not remediated","not remediated","2415 CROWN POINT AV Omaha, NE"
"2423 CROWN POINT AV","1613660000",2008-08-07,"2010-09-03","remediated","2423 CROWN POINT AV Omaha, NE"
"2431 CROWN POINT AV","1613680000",2003-12-12,"not remediated","not remediated","2431 CROWN POINT AV Omaha, NE"
"2437 CROWN POINT AV","1613700000",2014-06-11,"2014-11-04","remediated","2437 CROWN POINT AV Omaha, NE"
"2438 LAUREL AV","1613770000",2004-10-26,"not remediated","not remediated","2438 LAUREL AV Omaha, NE"
"2424 LAUREL AV","1613810000",2004-10-25,"2006-06-13","remediated","2424 LAUREL AV Omaha, NE"
"2416 LAUREL AV","1613830000",2005-12-14,"not remediated","not remediated","2416 LAUREL AV Omaha, NE"
"5912 N 24 ST","1613850000",2004-01-21,"2005-06-03","remediated","5912 N 24 ST Omaha, NE"
"2403 LAUREL AV","1613870000",2004-10-26,"not remediated","not remediated","2403 LAUREL AV Omaha, NE"
"2423 LAUREL AV","1613920000",2004-09-22,"not remediated","not remediated","2423 LAUREL AV Omaha, NE"
"2435 LAUREL AV","1613960000",2011-07-26,"not remediated","not remediated","2435 LAUREL AV Omaha, NE"
"2437 LAUREL AV","1613970000",2001-08-10,"2002-06-08","remediated","2437 LAUREL AV Omaha, NE"
"2588 LAUREL AV","1614030000",2001-08-27,"not remediated","not remediated","2588 LAUREL AV Omaha, NE"
"2597 CROWN POINT AV","1614070000",1999-12-05,"not remediated","not remediated","2597 CROWN POINT AV Omaha, NE"
"331 N 41 ST","1614180000",2003-07-18,"2005-11-07","remediated","331 N 41 ST Omaha, NE"
"322 N 41 ST","1614210000",2003-07-09,"not remediated","not remediated","322 N 41 ST Omaha, NE"
"366 N 40 ST","1614270000",2003-07-07,"2010-06-11","remediated","366 N 40 ST Omaha, NE"
"341 N 41 ST","1614310000",2003-08-05,"not remediated","not remediated","341 N 41 ST Omaha, NE"
"350 N 41 ST","1614340000",2003-07-17,"2007-12-31","remediated","350 N 41 ST Omaha, NE"
"340 N 41 ST","1614360000",2003-08-04,"not remediated","not remediated","340 N 41 ST Omaha, NE"
"7740 N 38 ST","1614420000",2004-01-13,"not remediated","not remediated","7740 N 38 ST Omaha, NE"
"7952 N 39 ST","1614630002",2004-01-19,"not remediated","not remediated","7952 N 39 ST Omaha, NE"
"4207 LEAVENWORTH ST","1616460000",2000-01-23,"not remediated","not remediated","4207 LEAVENWORTH ST Omaha, NE"
"4219 LEAVENWORTH ST","1616490000",2000-01-23,"not remediated","not remediated","4219 LEAVENWORTH ST Omaha, NE"
"4301 LEAVENWORTH ST","1616540000",2013-08-20,"2013-09-12","remediated","4301 LEAVENWORTH ST Omaha, NE"
"4411 LEAVENWORTH ST","1616660000",2004-08-26,"2011-09-21","remediated","4411 LEAVENWORTH ST Omaha, NE"
"4426 MARCY ST","1616710000",2003-11-10,"2010-10-21","remediated","4426 MARCY ST Omaha, NE"
"4328 MARCY ST","1616810000",1999-05-24,"not remediated","not remediated","4328 MARCY ST Omaha, NE"
"4220 MARCY ST","1616920000",2003-11-07,"2005-07-16","remediated","4220 MARCY ST Omaha, NE"
"3410 WRIGHT ST","1002720000",2014-05-22,"not remediated","not remediated","3410 WRIGHT ST Omaha, NE"
"2623 S 35 ST","1002740000",2003-10-17,"not remediated","not remediated","2623 S 35 ST Omaha, NE"
"2618 S 33 ST","1002820000",2008-05-07,"not remediated","not remediated","2618 S 33 ST Omaha, NE"
"3318 WRIGHT ST","1002850000",2008-05-01,"not remediated","not remediated","3318 WRIGHT ST Omaha, NE"
"2616 S 32 AV","1002950000",2008-09-05,"not remediated","not remediated","2616 S 32 AV Omaha, NE"
"2623 S 33 ST","1002980000",2004-08-18,"2012-09-17","remediated","2623 S 33 ST Omaha, NE"
"2601 S 33 ST","1003030000",2003-10-23,"2005-05-07","remediated","2601 S 33 ST Omaha, NE"
"3211 GOLD ST","1003050000",2003-10-29,"not remediated","not remediated","3211 GOLD ST Omaha, NE"
"2616 S 32 ST","1003080000",2003-10-25,"not remediated","not remediated","2616 S 32 ST Omaha, NE"
"2609 S 32 AV","1003160000",2003-10-27,"not remediated","not remediated","2609 S 32 AV Omaha, NE"
"4527 MAYBERRY ST","1007900000",2009-06-04,"not remediated","not remediated","4527 MAYBERRY ST Omaha, NE"
"4519 MAYBERRY ST","1007920000",2009-06-03,"not remediated","not remediated","4519 MAYBERRY ST Omaha, NE"
"964 S 45 ST","1007980000",2009-06-24,"not remediated","not remediated","964 S 45 ST Omaha, NE"
"4512 MASON ST","1008010000",2008-11-19,"not remediated","not remediated","4512 MASON ST Omaha, NE"
"4524 MASON ST","1008040000",2009-06-29,"not remediated","not remediated","4524 MASON ST Omaha, NE"
"2104 S 50 ST","1008810000",2011-09-28,"2012-04-24","remediated","2104 S 50 ST Omaha, NE"
"5308 N 44 AV","1009720000",2012-10-17,"not remediated","not remediated","5308 N 44 AV Omaha, NE"
"1123 N 26 CR","1432470216",2009-05-21,"not remediated","not remediated","1123 N 26 CR Omaha, NE"
"2631 HAMILTON ST","1432470404",2009-10-19,"not remediated","not remediated","2631 HAMILTON ST Omaha, NE"
"1103 S 22 ST","2216360000",2011-05-25,"2012-08-14","remediated","1103 S 22 ST Omaha, NE"
"1502 N 52 ST","2410390000",2012-11-01,"not remediated","not remediated","1502 N 52 ST Omaha, NE"
"2915 SEWARD ST","2213180000",2014-07-30,"not remediated","not remediated","2915 SEWARD ST Omaha, NE"
"2817 CHARLES ST","2213690002",2008-08-29,"not remediated","not remediated","2817 CHARLES ST Omaha, NE"
"1907 DREXEL ST","1421390000",2016-07-28,"not remediated","not remediated","1907 DREXEL ST Omaha, NE"
"3324 POLK ST","1328830000",2008-09-10,"not remediated","not remediated","3324 POLK ST Omaha, NE"
"3005 EMMET ST","0540230000",2006-07-14,"not remediated","not remediated","3005 EMMET ST Omaha, NE"
"3027 EMMET ST","0540290000",2008-09-17,"2004-12-06","remediated","3027 EMMET ST Omaha, NE"
"3024 BEDFORD AV","0540420002",2017-07-28,"not remediated","not remediated","3024 BEDFORD AV Omaha, NE"
"2870 WIRT ST","0540690000",2004-10-05,"not remediated","not remediated","2870 WIRT ST Omaha, NE"
"2858 WIRT ST","0540720000",2003-09-29,"not remediated","not remediated","2858 WIRT ST Omaha, NE"
"2875 SPENCER ST","0540870000",2008-07-16,"not remediated","not remediated","2875 SPENCER ST Omaha, NE"
"3321 PRATT ST","0541310000",2004-08-26,"not remediated","not remediated","3321 PRATT ST Omaha, NE"
"3451 PRATT ST","0541480002",2008-01-08,"not remediated","not remediated","3451 PRATT ST Omaha, NE"
"3485 PRATT ST","0541550000",2003-07-30,"not remediated","not remediated","3485 PRATT ST Omaha, NE"
"3227 EVANS ST","0542210000",2004-08-18,"not remediated","not remediated","3227 EVANS ST Omaha, NE"
"3290 PINKNEY ST","0542280002",2006-08-28,"not remediated","not remediated","3290 PINKNEY ST Omaha, NE"
"3224 PINKNEY ST","0542310000",2004-06-22,"not remediated","not remediated","3224 PINKNEY ST Omaha, NE"
"3023 PINKNEY ST","0542630000",2006-10-18,"not remediated","not remediated","3023 PINKNEY ST Omaha, NE"
"3111 PINKNEY ST","0542690000",2005-10-18,"not remediated","not remediated","3111 PINKNEY ST Omaha, NE"
"3217 PINKNEY ST","0542890000",2005-09-20,"not remediated","not remediated","3217 PINKNEY ST Omaha, NE"
"3223 PINKNEY ST","0542910000",2004-08-19,"2006-06-16","remediated","3223 PINKNEY ST Omaha, NE"
"3208 EMMET ST","0543030000",2015-03-25,"not remediated","not remediated","3208 EMMET ST Omaha, NE"
"3320 EMMET ST","0543200000",2005-01-10,"not remediated","not remediated","3320 EMMET ST Omaha, NE"
"4103 N 28 AV","0709840000",2004-07-21,"2012-11-17","remediated","4103 N 28 AV Omaha, NE"
"5211 S 31 ST","0710110002",2015-04-30,"not remediated","not remediated","5211 S 31 ST Omaha, NE"
"3118 R ST","0710030005",2006-11-09,"2011-09-21","remediated","3118 R ST Omaha, NE"
"3128 R ST","0710190000",2008-08-19,"2010-05-11","remediated","3128 R ST Omaha, NE"
"3130 R ST","0710200000",2009-05-04,"not remediated","not remediated","3130 R ST Omaha, NE"
"522 N 36 ST","0710270000",2001-11-18,"2011-08-31","remediated","522 N 36 ST Omaha, NE"
"3611 CALIFORNIA ST","0710290002",2004-08-27,"2012-05-30","remediated","3611 CALIFORNIA ST Omaha, NE"
"3625 CALIFORNIA ST","0710320000",2003-09-19,"2012-09-27","remediated","3625 CALIFORNIA ST Omaha, NE"
"515 N 38 ST","0710390000",2003-07-16,"not remediated","not remediated","515 N 38 ST Omaha, NE"
"509 N 38 ST","0710400000",2003-09-29,"not remediated","not remediated","509 N 38 ST Omaha, NE"
"3702 CASS ST","0710470002",2001-11-18,"not remediated","not remediated","3702 CASS ST Omaha, NE"
"3670 CASS ST","0710480000",2003-07-10,"not remediated","not remediated","3670 CASS ST Omaha, NE"
"3658 CASS ST","0710510000",2003-07-11,"not remediated","not remediated","3658 CASS ST Omaha, NE"
"520 N 38 ST","0710550000",2003-07-16,"not remediated","not remediated","520 N 38 ST Omaha, NE"
"3815 CALIFORNIA ST","0710560000",2003-07-01,"not remediated","not remediated","3815 CALIFORNIA ST Omaha, NE"
"3824 CASS ST","0710600000",2004-08-12,"not remediated","not remediated","3824 CASS ST Omaha, NE"
"3820 CASS ST","0710610000",2005-07-20,"not remediated","not remediated","3820 CASS ST Omaha, NE"
"4535 BEDFORD AV","0711100000",2009-04-29,"not remediated","not remediated","4535 BEDFORD AV Omaha, NE"
"4547 BEDFORD AV","0711120000",2009-08-10,"2010-06-04","remediated","4547 BEDFORD AV Omaha, NE"
"3205 FONTENELLE BD","0711160000",2009-04-29,"not remediated","not remediated","3205 FONTENELLE BD Omaha, NE"
"4536 SPENCER ST","0711190000",2008-10-27,"not remediated","not remediated","4536 SPENCER ST Omaha, NE"
"4532 SPENCER ST","0711200000",2008-12-11,"not remediated","not remediated","4532 SPENCER ST Omaha, NE"
"3202 N 45 ST","0711270000",2008-10-10,"not remediated","not remediated","3202 N 45 ST Omaha, NE"
"5806 NORTHWEST DR","0712770000",1999-04-21,"not remediated","not remediated","5806 NORTHWEST DR Omaha, NE"
"1717 WASHINGTON ST","0715000000",2004-11-29,"not remediated","not remediated","1717 WASHINGTON ST Omaha, NE"
"1826 JEFFERSON ST","0715230000",2004-01-21,"not remediated","not remediated","1826 JEFFERSON ST Omaha, NE"
"1706 JEFFERSON ST","0715350000",2005-09-12,"not remediated","not remediated","1706 JEFFERSON ST Omaha, NE"
"1701 JEFFERSON ST","0715370000",2008-08-14,"not remediated","not remediated","1701 JEFFERSON ST Omaha, NE"
"4407 DAVENPORT ST","0715500000",2003-12-10,"2013-07-30","remediated","4407 DAVENPORT ST Omaha, NE"
"1837 N 49 AV","0820740000",2010-10-08,"not remediated","not remediated","1837 N 49 AV Omaha, NE"
"1714 N 49 ST","0820970002",2009-04-28,"not remediated","not remediated","1714 N 49 ST Omaha, NE"
"4917 DECATUR ST","0821000000",2008-10-15,"not remediated","not remediated","4917 DECATUR ST Omaha, NE"
"4959 DECATUR ST","0821040000",2009-06-03,"not remediated","not remediated","4959 DECATUR ST Omaha, NE"
"1715 N 50 ST","0821050000",2008-10-10,"2014-06-09","remediated","1715 N 50 ST Omaha, NE"
"1705 N 50 ST","0821090000",2008-09-30,"not remediated","not remediated","1705 N 50 ST Omaha, NE"
"4934 FRANKLIN ST","0821140000",2009-06-16,"not remediated","not remediated","4934 FRANKLIN ST Omaha, NE"
"4920 FRANKLIN ST","0821170000",2008-10-28,"2010-06-11","remediated","4920 FRANKLIN ST Omaha, NE"
"1706 N 49 ST","0821210002",2008-10-27,"not remediated","not remediated","1706 N 49 ST Omaha, NE"
"4811 DECATUR ST","0821250000",2008-11-06,"not remediated","not remediated","4811 DECATUR ST Omaha, NE"
"4855 DECATUR ST","0821300000",2008-10-24,"not remediated","not remediated","4855 DECATUR ST Omaha, NE"
"1721 N 49 ST","0821330000",2009-05-21,"not remediated","not remediated","1721 N 49 ST Omaha, NE"
"1703 N 49 ST","0821370000",2008-10-21,"not remediated","not remediated","1703 N 49 ST Omaha, NE"
"1701 N 49 ST","0821380000",2008-11-13,"not remediated","not remediated","1701 N 49 ST Omaha, NE"
"4832 FRANKLIN ST","0821410000",2009-06-16,"not remediated","not remediated","4832 FRANKLIN ST Omaha, NE"
"4816 FRANKLIN ST","0821450000",2009-06-04,"not remediated","not remediated","4816 FRANKLIN ST Omaha, NE"
"4804 FRANKLIN ST","0821480000",2008-10-27,"not remediated","not remediated","4804 FRANKLIN ST Omaha, NE"
"4819 FRANKLIN ST","0821540000",2009-07-08,"not remediated","not remediated","4819 FRANKLIN ST Omaha, NE"
"4839 FRANKLIN ST","0821590000",2008-10-08,"not remediated","not remediated","4839 FRANKLIN ST Omaha, NE"
"4910 N HAPPY HOLLOW BD","0821660000",2009-06-22,"not remediated","not remediated","4910 N HAPPY HOLLOW BD Omaha, NE"
"1622 S 8 ST","1516000000",2003-08-14,"not remediated","not remediated","1622 S 8 ST Omaha, NE"
"828 HICKORY ST","1516070004",2003-08-11,"2012-05-16","remediated","828 HICKORY ST Omaha, NE"
"1702 S 9 ST","1516170000",2002-10-21,"2010-08-03","remediated","1702 S 9 ST Omaha, NE"
"1730 S 9 ST","1516340002",2008-09-15,"2008-11-06","remediated","1730 S 9 ST Omaha, NE"
"1737 S 10 ST","1516410000",2008-07-10,"2009-11-13","remediated","1737 S 10 ST Omaha, NE"
"1744 S 9 ST","1516420000",2002-10-29,"not remediated","not remediated","1744 S 9 ST Omaha, NE"
"1752 S 9 ST","1516470000",2002-10-28,"2009-08-27","remediated","1752 S 9 ST Omaha, NE"
"1770 S 9 ST","1516590000",2002-10-14,"2011-10-27","remediated","1770 S 9 ST Omaha, NE"
"808 FRANCES ST","1516690000",2005-06-23,"2006-06-14","remediated","808 FRANCES ST Omaha, NE"
"2018 S 8 ST","1516710000",2005-05-24,"2005-06-18","remediated","2018 S 8 ST Omaha, NE"
"1757 S 9 ST","1516840000",2003-11-18,"2005-10-22","remediated","1757 S 9 ST Omaha, NE"
"1916 S 8 ST","1516900000",2008-06-09,"2011-10-17","remediated","1916 S 8 ST Omaha, NE"
"1733 S 9 ST","1516970000",2003-05-16,"not remediated","not remediated","1733 S 9 ST Omaha, NE"
"1726 S 8 ST","1516990000",2003-08-17,"not remediated","not remediated","1726 S 8 ST Omaha, NE"
"1731 S 9 ST","1517040000",1999-04-22,"not remediated","not remediated","1731 S 9 ST Omaha, NE"
"1717 S 9 ST","1517090000",1999-05-14,"not remediated","not remediated","1717 S 9 ST Omaha, NE"
"1721 S 9 ST","1517110000",2002-10-21,"2010-08-03","remediated","1721 S 9 ST Omaha, NE"
"1707 S 9 ST","1517220000",2002-10-28,"not remediated","not remediated","1707 S 9 ST Omaha, NE"
